"stasiun","Nama_Stasiun","Kota_Kabupaten","Nama_Kereta"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Penataran"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Logawa"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Sri_Tanjung"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Mutiara_Selatan"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Delta_Ekspres"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Gaya_Baru_Malam_Selatan"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Arek_Surokerto"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Pasundan"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Jombang-Kertosono"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Arjuna_Ekspres"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Kota","Stasiun Surabaya Kota","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Delta_Ekspres"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Kota","Stasiun Surabaya Kota","Surabaya","http://id.dbpedia.org/resource/Kereta_Api_Arjuna_Ekspres"
